Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
367031,2,2016-02-01,01-07-2016,909014,0,382,2,GBP
367031,3,2016-02-01,01-07-2016,909014,0,1722,3,GBP
367031,4,2016-02-01,01-07-2016,909014,0,132,1,GBP
368000,1,2016-03-01,,892838,32,1440,1,EUR
368001,1,2016-03-01,,1670789,64,1598,3,USD
369000,1,2016-04-01,,1143828,37,2167,9,GBP
369000,2,2016-04-01,,1143828,37,167,1,GBP
369001,1,2016-04-01,,269337,8,1301,1,CAD
369001,2,2016-04-01,,269337,8,1649,4,CAD
369002,1,2016-04-01,,258316,8,1656,1,CAD
369004,1,2016-04-01,,1389462,65,1961,5,USD
369004,2,2016-04-01,,1389462,65,1991,3,USD
369005,1,2016-04-01,,1866637,56,183,3,USD
369006,1,2016-04-01,,734605,28,654,1,EUR
369007,1,2016-04-01,,571622,20,2510,3,EUR
369007,2,2016-04-01,,571622,20,2103,1,EUR
369007,3,2016-04-01,,571622,20,1578,3,EUR
369011,1,2016-04-01,01-09-2016,1664824,0,1261,2,USD
369012,1,2016-04-01,1/13/2016,1696695,0,1423,3,USD
369012,2,2016-04-01,1/13/2016,1696695,0,1656,1,USD
369012,3,2016-04-01,1/13/2016,1696695,0,1660,2,USD
369012,4,2016-04-01,1/13/2016,1696695,0,1610,6,USD
370000,1,2016-05-01,,2032025,51,1360,4,USD
370000,2,2016-05-01,,2032025,51,1158,4,USD
370000,3,2016-05-01,,2032025,51,457,2,USD
370001,1,2016-05-01,,1884908,61,1107,3,USD
370001,2,2016-05-01,,1884908,61,1591,3,USD
370001,3,2016-05-01,,1884908,61,1544,7,USD
370003,1,2016-05-01,,2092033,66,836,8,USD
370003,2,2016-05-01,,2092033,66,1529,3,USD
370004,1,2016-05-01,,1473090,43,1251,2,USD
370005,1,2016-05-01,,584095,24,1610,2,EUR
370005,2,2016-05-01,,584095,24,1594,4,EUR
370006,1,2016-05-01,,661636,16,1272,6,EUR
370007,1,2016-05-01,,623659,15,267,1,EUR
370007,2,2016-05-01,,623659,15,126,7,EUR
370008,1,2016-05-01,,183264,4,2105,1,AUD
370010,1,2016-05-01,,1393738,48,1709,3,USD
370010,2,2016-05-01,,1393738,48,2113,10,USD
370010,3,2016-05-01,,1393738,48,2088,2,USD
370011,1,2016-05-01,,1522590,47,32,2,USD
370012,1,2016-05-01,,1780669,53,1585,3,USD
370012,2,2016-05-01,,1780669,53,1689,2,USD
370013,1,2016-05-01,,5097,6,5,2,AUD
370014,1,2016-05-01,,1475886,51,1622,2,USD
370014,2,2016-05-01,,1475886,51,2110,1,USD
370014,3,2016-05-01,,1475886,51,1694,2,USD
371000,1,2016-06-01,,728834,30,81,2,EUR
371001,1,2016-06-01,,76021,2,77,3,AUD
371001,2,2016-06-01,,76021,2,945,2,AUD
371001,3,2016-06-01,,76021,2,1033,1,AUD
371001,4,2016-06-01,,76021,2,1581,5,AUD
371002,1,2016-06-01,,1955971,53,80,4,USD
371002,2,2016-06-01,,1955971,53,2171,3,USD
371003,1,2016-06-01,,778259,28,1074,6,EUR
371003,2,2016-06-01,,778259,28,127,2,EUR
371003,3,2016-06-01,,778259,28,333,5,EUR
371003,4,2016-06-01,,778259,28,1627,4,EUR
371003,5,2016-06-01,,778259,28,64,1,EUR
371003,6,2016-06-01,,778259,28,1997,3,EUR
371004,1,2016-06-01,1/14/2016,1378439,0,1305,8,USD
371005,1,2016-06-01,,1923558,48,58,1,USD
371005,2,2016-06-01,,1923558,48,32,7,USD
371006,1,2016-06-01,1/15/2016,1501383,0,1279,1,USD
371007,1,2016-06-01,1/18/2016,1378439,0,1639,1,USD
371008,1,2016-06-01,,2053617,50,961,1,USD
371008,2,2016-06-01,,2053617,50,1626,7,USD
371010,1,2016-06-01,,1716584,53,2491,5,USD
371010,2,2016-06-01,,1716584,53,1631,7,USD
371011,1,2016-06-01,1/14/2016,776266,0,458,5,EUR
371011,2,2016-06-01,1/14/2016,776266,0,1573,3,EUR
371011,3,2016-06-01,1/14/2016,776266,0,32,5,EUR
371012,1,2016-06-01,,363872,8,147,1,CAD
371012,2,2016-06-01,,363872,8,1576,1,CAD
371012,3,2016-06-01,,363872,8,1642,3,CAD
371014,1,2016-06-01,,1161615,40,89,4,GBP
371014,2,2016-06-01,,1161615,40,337,3,GBP
371015,1,2016-06-01,1/14/2016,1669745,0,1679,5,USD
371015,2,2016-06-01,1/14/2016,1669745,0,1659,1,USD
371015,3,2016-06-01,1/14/2016,1669745,0,1228,1,USD
371015,4,2016-06-01,1/14/2016,1669745,0,1458,4,USD
371016,1,2016-06-01,,879778,32,1704,2,EUR
371017,1,2016-06-01,,1918687,61,2084,5,USD
371017,2,2016-06-01,,1918687,61,2365,1,USD
371018,1,2016-06-01,,1041466,36,534,1,GBP
371018,2,2016-06-01,,1041466,36,1667,7,GBP
371018,3,2016-06-01,,1041466,36,1212,7,GBP
371018,4,2016-06-01,,1041466,36,2496,1,GBP
371018,5,2016-06-01,,1041466,36,1200,2,GBP
371018,6,2016-06-01,,1041466,36,1333,2,GBP
371018,7,2016-06-01,,1041466,36,2124,1,GBP
371019,1,2016-06-01,,916074,41,2506,2,GBP
371019,2,2016-06-01,,916074,41,1590,1,GBP
371019,3,2016-06-01,,916074,41,1615,2,GBP
371019,4,2016-06-01,,916074,41,2093,2,GBP
372000,1,2016-07-01,1/22/2016,1413890,0,148,3,USD
372000,2,2016-07-01,1/22/2016,1413890,0,1620,1,USD
372000,3,2016-07-01,1/22/2016,1413890,0,825,3,USD
372001,1,2016-07-01,,1412534,63,1286,1,USD
372001,2,2016-07-01,,1412534,63,1669,3,USD
372002,1,2016-07-01,,1718240,47,1299,7,USD
372003,1,2016-07-01,,527409,19,1604,3,EUR
372003,2,2016-07-01,,527409,19,141,4,EUR
372003,3,2016-07-01,,527409,19,83,2,EUR
372004,1,2016-07-01,,711449,30,922,9,EUR
372005,1,2016-07-01,,302130,9,411,3,CAD
372005,2,2016-07-01,,302130,9,75,4,CAD
372005,3,2016-07-01,,302130,9,1620,3,CAD
372005,4,2016-07-01,,302130,9,2366,5,CAD
372005,5,2016-07-01,,302130,9,1652,8,CAD
372005,6,2016-07-01,,302130,9,1614,8,CAD
372006,1,2016-07-01,1/15/2016,2095742,0,125,2,USD
372007,1,2016-07-01,,1982994,61,1148,4,USD
372008,1,2016-07-01,,1214363,53,183,1,USD
372008,3,2016-07-01,,1214363,53,1665,1,USD
372010,1,2016-07-01,,784075,29,90,7,EUR
372011,1,2016-07-01,,739625,29,1572,1,EUR
372012,1,2016-07-01,,195521,6,468,1,AUD
372012,2,2016-07-01,,195521,6,1560,6,AUD
372012,3,2016-07-01,,195521,6,1094,2,AUD
372012,4,2016-07-01,,195521,6,171,4,AUD
372012,5,2016-07-01,,195521,6,2265,2,AUD
372013,1,2016-07-01,,1042966,38,1259,2,GBP
372016,1,2016-07-01,,1170323,42,1581,2,GBP
372016,2,2016-07-01,,1170323,42,6,3,GBP
373000,1,2016-08-01,1/14/2016,1367439,0,2509,3,USD
373000,2,2016-08-01,1/14/2016,1367439,0,716,3,USD
373002,1,2016-08-01,,1750554,48,1859,5,USD
373003,1,2016-08-01,,2082534,56,67,3,USD
373004,1,2016-08-01,,460587,24,1765,3,EUR
373005,1,2016-08-01,,1763365,65,342,2,USD
373005,2,2016-08-01,,1763365,65,1073,1,USD
373007,1,2016-08-01,1/14/2016,351747,0,103,2,CAD
373007,2,2016-08-01,1/14/2016,351747,0,1455,5,CAD
373007,3,2016-08-01,1/14/2016,351747,0,1902,2,CAD
373008,1,2016-08-01,,536845,23,535,3,EUR
373008,2,2016-08-01,,536845,23,2089,3,EUR
373008,3,2016-08-01,,536845,23,1612,3,EUR
373008,4,2016-08-01,,536845,23,65,2,EUR
373009,1,2016-08-01,1/19/2016,1064519,0,1589,4,GBP
373010,1,2016-08-01,,538801,27,2492,6,EUR
373010,2,2016-08-01,,538801,27,2288,8,EUR
373010,3,2016-08-01,,538801,27,56,2,EUR
373011,1,2016-08-01,,82415,4,440,2,AUD
374000,1,2016-09-01,,1971983,48,737,5,USD
374000,2,2016-09-01,,1971983,48,1735,3,USD
374000,3,2016-09-01,,1971983,48,103,3,USD
374000,5,2016-09-01,,1971983,48,81,2,USD
374000,6,2016-09-01,,1971983,48,1624,1,USD
374001,1,2016-09-01,,2050933,47,1429,1,USD
374001,2,2016-09-01,,2050933,47,545,1,USD
374002,1,2016-09-01,,320030,8,1991,8,CAD
374002,2,2016-09-01,,320030,8,1667,8,CAD
374002,3,2016-09-01,,320030,8,2098,3,CAD
374002,4,2016-09-01,,320030,8,1695,1,CAD
374003,1,2016-09-01,,1188400,38,1606,1,GBP
374005,1,2016-09-01,,239647,8,1197,2,CAD
374006,1,2016-09-01,,1387959,65,1622,6,USD
374007,1,2016-09-01,,800548,31,1631,3,EUR
374008,1,2016-09-01,,789641,29,1217,4,EUR
374009,1,2016-09-01,,728541,30,538,3,EUR
374010,1,2016-09-01,,665776,12,1632,3,EUR
374010,2,2016-09-01,,665776,12,1048,1,EUR
374010,3,2016-09-01,,665776,12,1681,7,EUR
374010,4,2016-09-01,,665776,12,2104,4,EUR
374010,5,2016-09-01,,665776,12,1673,2,EUR
374010,6,2016-09-01,,665776,12,1206,2,EUR
374010,7,2016-09-01,,665776,12,961,5,EUR
374011,1,2016-09-01,,174622,5,1256,8,AUD
374012,1,2016-09-01,1/20/2016,1758208,0,1280,1,USD
374012,2,2016-09-01,1/20/2016,1758208,0,1276,1,USD
374012,3,2016-09-01,1/20/2016,1758208,0,2454,5,USD
374012,4,2016-09-01,1/20/2016,1758208,0,2108,1,USD
374013,1,2016-09-01,,733080,29,533,5,EUR
374013,2,2016-09-01,,733080,29,1067,10,EUR
374013,3,2016-09-01,,733080,29,1577,6,EUR
374015,1,2016-09-01,,1451748,55,107,7,USD
374016,1,2016-09-01,,1535357,45,9,5,USD
374017,1,2016-09-01,,1558964,63,1630,1,USD
374018,1,2016-09-01,,1010049,38,1615,5,GBP
374018,2,2016-09-01,,1010049,38,2075,2,GBP
374019,1,2016-09-01,,193216,6,1109,3,AUD
375000,1,2016-10-01,1/18/2016,1084570,0,1636,1,GBP
375000,2,2016-10-01,1/18/2016,1084570,0,88,7,GBP
375000,3,2016-10-01,1/18/2016,1084570,0,2515,1,GBP
376000,1,2016-11-01,,1862500,43,69,1,USD
376001,1,2016-11-01,,813685,32,131,1,EUR
376001,2,2016-11-01,,813685,32,1604,1,EUR
376003,1,2016-11-01,,797322,30,425,3,EUR
376003,2,2016-11-01,,797322,30,2112,4,EUR
376003,3,2016-11-01,,797322,30,1297,1,EUR
376003,4,2016-11-01,,797322,30,1806,2,EUR
376004,1,2016-11-01,,1905050,45,1635,6,USD
376005,1,2016-11-01,,305321,8,1352,3,CAD
376005,2,2016-11-01,,305321,8,2114,3,CAD
376005,3,2016-11-01,,305321,8,418,2,CAD
376005,4,2016-11-01,,305321,8,2096,3,CAD
377000,1,2016-12-01,,1589958,64,1625,6,USD
377000,2,2016-12-01,,1589958,64,1730,4,USD
377000,3,2016-12-01,,1589958,64,681,2,USD
377000,4,2016-12-01,,1589958,64,1675,7,USD
377000,5,2016-12-01,,1589958,64,422,2,USD
377002,1,2016-12-01,,1897822,50,1612,1,USD
377002,2,2016-12-01,,1897822,50,858,1,USD
377002,3,2016-12-01,,1897822,50,1595,2,USD
377003,1,2016-12-01,,1129200,40,1942,6,GBP
377004,1,2016-12-01,,1136143,42,460,4,GBP
377004,2,2016-12-01,,1136143,42,740,3,GBP
377005,1,2016-12-01,,1022980,37,1634,1,GBP
377006,1,2016-12-01,1/20/2016,934781,0,1432,1,GBP
377006,2,2016-12-01,1/20/2016,934781,0,1580,1,GBP
377006,3,2016-12-01,1/20/2016,934781,0,1462,1,GBP
377006,4,2016-12-01,1/20/2016,934781,0,1936,1,GBP
377006,5,2016-12-01,1/20/2016,934781,0,1007,1,GBP
377006,6,2016-12-01,1/20/2016,934781,0,320,1,GBP
377007,1,2016-12-01,,86126,6,1665,1,AUD
377007,2,2016-12-01,,86126,6,446,3,AUD
377007,3,2016-12-01,,86126,6,1176,4,AUD
397000,1,2016-01-02,,1677739,55,1649,9,USD
397001,1,2016-01-02,,1140654,37,1458,6,GBP
397001,2,2016-01-02,,1140654,37,390,1,GBP
397002,1,2016-01-02,02-09-2016,1348253,0,1607,2,USD
397002,2,2016-01-02,02-09-2016,1348253,0,97,2,USD
397002,3,2016-01-02,02-09-2016,1348253,0,2012,2,USD
397003,1,2016-01-02,,760816,29,955,1,EUR
397003,2,2016-01-02,,760816,29,1614,1,EUR
397003,3,2016-01-02,,760816,29,1109,4,EUR
397004,1,2016-01-02,02-10-2016,1866421,0,123,2,USD
397004,2,2016-01-02,02-10-2016,1866421,0,625,1,USD
397004,3,2016-01-02,02-10-2016,1866421,0,1641,4,USD
397005,1,2016-01-02,,1650783,64,1192,10,USD
397005,2,2016-01-02,,1650783,64,2164,4,USD
397005,3,2016-01-02,,1650783,64,1432,3,USD
397005,4,2016-01-02,,1650783,64,1983,4,USD
397005,5,2016-01-02,,1650783,64,1226,2,USD
397005,6,2016-01-02,,1650783,64,1697,3,USD
397005,7,2016-01-02,,1650783,64,1409,5,USD
398000,1,2016-02-02,,1110229,42,1799,1,GBP
398001,1,2016-02-02,,130214,5,1588,7,AUD
398001,2,2016-02-02,,130214,5,1259,8,AUD
398001,3,2016-02-02,,130214,5,1194,1,AUD
398001,4,2016-02-02,,130214,5,374,6,AUD
398002,1,2016-02-02,,1822089,44,160,4,USD
398002,2,2016-02-02,,1822089,44,1612,2,USD
398003,1,2016-02-02,,1355155,51,31,1,USD
398003,3,2016-02-02,,1355155,51,439,1,USD
398003,4,2016-02-02,,1355155,51,1026,3,USD
398004,1,2016-02-02,,1001493,36,70,2,GBP
398004,2,2016-02-02,,1001493,36,2060,3,GBP
398004,3,2016-02-02,,1001493,36,1736,9,GBP
398004,4,2016-02-02,,1001493,36,84,1,GBP
398005,1,2016-02-02,,1761462,63,1642,5,USD
398005,2,2016-02-02,,1761462,63,424,3,USD
398005,3,2016-02-02,,1761462,63,1672,1,USD
398005,4,2016-02-02,,1761462,63,445,8,USD
398006,1,2016-02-02,,857287,34,1274,1,EUR
398006,2,2016-02-02,,857287,34,1348,4,EUR
398006,3,2016-02-02,,857287,34,1556,3,EUR
398006,4,2016-02-02,,857287,34,1525,2,EUR
398006,5,2016-02-02,,857287,34,326,1,EUR
398006,6,2016-02-02,,857287,34,1056,1,EUR
398006,7,2016-02-02,,857287,34,702,3,EUR
398007,1,2016-02-02,,1042883,42,445,5,GBP
398007,2,2016-02-02,,1042883,42,1804,3,GBP
399000,1,2016-03-02,,1887449,64,1633,5,USD
399001,1,2016-03-02,,687377,12,1781,10,EUR
399002,1,2016-03-02,,1476450,51,2054,2,USD
399003,1,2016-03-02,,1232687,59,1631,5,USD
399003,2,2016-03-02,,1232687,59,93,2,USD
399003,3,2016-03-02,,1232687,59,1589,2,USD
399003,4,2016-03-02,,1232687,59,1802,4,USD
399003,5,2016-03-02,,1232687,59,1576,2,USD
399003,6,2016-03-02,,1232687,59,103,2,USD
399004,1,2016-03-02,02-11-2016,822698,0,1058,3,EUR
399006,1,2016-03-02,,1363203,65,361,7,USD
399007,1,2016-03-02,,1191228,38,1576,1,GBP
399007,2,2016-03-02,,1191228,38,1543,1,GBP
399009,1,2016-03-02,,784001,28,735,5,EUR
399009,2,2016-03-02,,784001,28,73,6,EUR
399010,1,2016-03-02,,906625,36,1516,1,GBP
399010,2,2016-03-02,,906625,36,2147,1,GBP
399010,3,2016-03-02,,906625,36,1624,1,GBP
399010,4,2016-03-02,,906625,36,1627,4,GBP
399010,5,2016-03-02,,906625,36,1142,1,GBP
399010,6,2016-03-02,,906625,36,1424,6,GBP
400000,1,2016-04-02,,1883755,61,138,2,USD
400000,2,2016-04-02,,1883755,61,71,4,USD
400001,1,2016-04-02,,264640,8,2037,1,CAD
400001,2,2016-04-02,,264640,8,1199,3,CAD
400002,1,2016-04-02,,363872,9,54,1,CAD
400002,2,2016-04-02,,363872,9,2019,1,CAD
400002,3,2016-04-02,,363872,9,1293,4,CAD
400002,4,2016-04-02,,363872,9,419,8,CAD
400003,1,2016-04-02,,446883,27,164,8,EUR
400003,2,2016-04-02,,446883,27,1638,1,EUR
400003,3,2016-04-02,,446883,27,1331,7,EUR
400004,1,2016-04-02,,106880,5,1426,10,AUD
400004,2,2016-04-02,,106880,5,1619,7,AUD
400004,3,2016-04-02,,106880,5,180,1,AUD
400004,4,2016-04-02,,106880,5,1837,1,AUD
400005,1,2016-04-02,,2065817,65,1913,9,USD
400006,1,2016-04-02,02-10-2016,1996959,0,1284,3,USD
400007,1,2016-04-02,,1987941,63,152,5,USD
400007,2,2016-04-02,,1987941,63,1420,2,USD
400007,3,2016-04-02,,1987941,63,181,3,USD
400009,1,2016-04-02,,1310047,45,1746,2,USD
400010,1,2016-04-02,02-10-2016,606808,0,1746,8,EUR
400010,2,2016-04-02,02-10-2016,606808,0,1664,3,EUR
400010,3,2016-04-02,02-10-2016,606808,0,965,3,EUR
400011,1,2016-04-02,,1122248,37,458,2,GBP
401002,1,2016-05-02,,1787415,48,1583,2,USD
401002,2,2016-05-02,,1787415,48,1409,3,USD
401002,3,2016-05-02,,1787415,48,303,1,USD
401002,4,2016-05-02,,1787415,48,156,4,USD
401003,1,2016-05-02,,376977,8,34,2,CAD
401004,1,2016-05-02,,1565847,47,667,6,USD
401005,1,2016-05-02,,953489,41,2044,7,GBP
401005,2,2016-05-02,,953489,41,501,2,GBP
401005,3,2016-05-02,,953489,41,400,5,GBP
401005,4,2016-05-02,,953489,41,58,1,GBP
401005,5,2016-05-02,,953489,41,1612,6,GBP
401005,6,2016-05-02,,953489,41,1591,3,GBP
401007,1,2016-05-02,,1774119,47,1494,3,USD
402000,1,2016-06-02,,1086200,37,1466,1,GBP
402000,2,2016-06-02,,1086200,37,1315,3,GBP
402001,1,2016-06-02,,732289,28,83,2,EUR
402001,2,2016-06-02,,732289,28,1647,1,EUR
402001,3,2016-06-02,,732289,28,112,2,EUR
402001,4,2016-06-02,,732289,28,1495,5,EUR
402002,1,2016-06-02,,1673191,47,1602,7,USD
402004,1,2016-06-02,,1906975,54,1134,5,USD
402005,1,2016-06-02,,941746,39,2301,7,GBP
402005,2,2016-06-02,,941746,39,153,2,GBP
402006,1,2016-06-02,,1763642,64,146,3,USD
402006,2,2016-06-02,,1763642,64,2030,7,USD
402007,1,2016-06-02,,957784,41,1632,5,GBP
402007,2,2016-06-02,,957784,41,1132,2,GBP
402007,3,2016-06-02,,957784,41,1002,3,GBP
402008,1,2016-06-02,,1427596,61,191,3,USD
402008,2,2016-06-02,,1427596,61,2110,8,USD
402009,1,2016-06-02,,783691,30,154,4,EUR
402009,2,2016-06-02,,783691,30,1163,6,EUR
402010,1,2016-06-02,2/13/2016,1653624,0,974,3,USD
402011,1,2016-06-02,,1730479,59,147,4,USD
402011,2,2016-06-02,,1730479,59,53,2,USD
402012,1,2016-06-02,,1392371,51,505,8,USD
402012,2,2016-06-02,,1392371,51,1109,2,USD
402012,3,2016-06-02,,1392371,51,1512,4,USD
402012,4,2016-06-02,,1392371,51,1033,8,USD
402013,1,2016-06-02,,729681,28,135,3,EUR
402013,2,2016-06-02,,729681,28,160,6,EUR
402013,3,2016-06-02,,729681,28,2139,1,EUR
402013,4,2016-06-02,,729681,28,119,1,EUR
404000,1,2016-08-02,,1258466,54,136,3,USD
404000,2,2016-08-02,,1258466,54,1258,5,USD
404000,3,2016-08-02,,1258466,54,1595,1,USD
404000,4,2016-08-02,,1258466,54,2109,2,USD
404001,1,2016-08-02,,495894,22,2153,2,EUR
404001,2,2016-08-02,,495894,22,1635,1,EUR
404002,1,2016-08-02,,1324963,57,1612,3,USD
404002,2,2016-08-02,,1324963,57,166,1,USD
404002,3,2016-08-02,,1324963,57,1545,2,USD
404002,4,2016-08-02,,1324963,57,471,3,USD
404004,1,2016-08-02,,368115,10,2502,1,CAD
404004,2,2016-08-02,,368115,10,1272,5,CAD
404004,3,2016-08-02,,368115,10,404,1,CAD
404005,1,2016-08-02,2/16/2016,295597,0,491,1,CAD
404005,2,2016-08-02,2/16/2016,295597,0,1456,5,CAD
405000,1,2016-09-02,,1548406,47,1683,2,USD
405001,1,2016-09-02,,1437592,50,375,8,USD
405001,2,2016-09-02,,1437592,50,768,2,USD
405001,3,2016-09-02,,1437592,50,1640,1,USD
405002,1,2016-09-02,,474309,27,429,4,EUR
405002,2,2016-09-02,,474309,27,2105,4,EUR
405002,3,2016-09-02,,474309,27,1620,2,EUR
405002,4,2016-09-02,,474309,27,126,2,EUR
405002,5,2016-09-02,,474309,27,337,7,EUR
405002,6,2016-09-02,,474309,27,2367,2,EUR
405002,7,2016-09-02,,474309,27,1639,1,EUR
405003,1,2016-09-02,,582819,24,1648,3,EUR
405003,2,2016-09-02,,582819,24,1302,1,EUR
405005,1,2016-09-02,2/15/2016,39894,0,1608,8,AUD
405006,1,2016-09-02,,622011,17,1618,1,EUR
405006,2,2016-09-02,,622011,17,1603,1,EUR
405006,3,2016-09-02,,622011,17,1599,8,EUR
405007,1,2016-09-02,,1906549,57,1413,2,USD
406000,1,2016-10-02,,1533894,50,1134,2,USD
406001,1,2016-10-02,2/15/2016,1610147,0,1684,5,USD
406001,2,2016-10-02,2/15/2016,1610147,0,100,2,USD
406001,3,2016-10-02,2/15/2016,1610147,0,1500,3,USD
406001,4,2016-10-02,2/15/2016,1610147,0,430,3,USD
406001,5,2016-10-02,2/15/2016,1610147,0,2099,1,USD
406001,6,2016-10-02,2/15/2016,1610147,0,450,1,USD
406001,7,2016-10-02,2/15/2016,1610147,0,452,2,USD
406002,1,2016-10-02,,1954639,47,1791,1,USD
406002,2,2016-10-02,,1954639,47,64,7,USD
406002,3,2016-10-02,,1954639,47,1191,1,USD
406003,1,2016-10-02,,1310201,65,432,10,USD
406003,2,2016-10-02,,1310201,65,100,3,USD
406004,1,2016-10-02,,1389462,43,725,1,USD
406005,1,2016-10-02,,1883820,61,2495,7,USD
406005,2,2016-10-02,,1883820,61,90,3,USD
406006,1,2016-10-02,,761306,29,593,2,EUR
406006,2,2016-10-02,,761306,29,62,3,EUR
406006,3,2016-10-02,,761306,29,1584,1,EUR
406006,4,2016-10-02,,761306,29,979,7,EUR
406006,5,2016-10-02,,761306,29,135,1,EUR
